Neighborhood,city,state,metro,county,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
Little Havana,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,1500.0,1500.0,1600.0,1600.0,1525.0,1600.0,1700.0,1500.0,1400.0,1587.5,1695.0,1900.0,1900.0,1690.0,1650.0,1600.0,1650.0,1650.0,1650.0,1650.0,1650.0,1600.0,1680.0,1849.0,1600.0,1650.0,1650.0,1600.0,1600.0,1750.0,1650.0,1650.0,1650.0,1735.0,1747.5,1800.0,1890.0,1750.0,1700.0,1600.0,1650.0,1650.0,1650.0,1650.0
Flagami,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,1300.0,1325.0,1300.0,1300.0,1250.0,1375.0,1350.0,1300.0,1325.0,1400.0,1362.5,1375.0,1350.0,1350.0,1300.0,1400.0,1400.0,1400.0,1400.0,1400.0,1405.0,1400.0,1450.0,1450.0,1500.0,1400.0,1400.0,1375.0,1400.0,1400.0,1350.0,1400.0,1400.0,1400.0,1397.5,1395.0,1400.0,1425.0,1425.0,1437.5,1450.0,1450.0,1462.5,1450.0,1450.0,1500.0,1450.0,1500.0,1575.0,1500.0,1525.0,1475.0,1450.0,1460.0,1485.0,1500.0,1485.0,1500.0,1525.0,1600.0,1600.0,1650.0,1600.0,1550.0,1600.0,1600.0,1600.0,1500.0,1600.0,1600.0,1600.0,1599.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0
Alameda - West Flagler,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,1375.0,1497.5,1500.0,1500.0,1562.5,1500.0,1550.0,1547.5,1500.0,1500.0,1500.0,1500.0,1550.0,1600.0,1600.0,1600.0,1550.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1675.0,1650.0,1695.0,1696.0,1695.0,1650.0,1650.0,1650.0,1695.0,1650.0,1600.0,1650.0,1782.5,1737.5,1700.0,1700.0,1700.0,1750.0,1800.0,1800.0,1795.0,1850.0,1800.0,1850.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1850.0,1800.0,1800.0,1750.0,1850.0,1800.0,1800.0,1800.0,1800.0,1750.0,1762.5,1800.0,1850.0,1840.0,1800.0,1775.0,1762.5,1750.0,1750.0,1700.0,1700.0,1750.0,1750.0
Allapattah,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,1590.0,1497.5,1500.0,1600.0,1600.0,1500.0,1500.0,1500.0,1397.5,1380.0,1400.0
Coral Way,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,1700.0,1719.5,1600.0,1680.0,1700.0,1750.0,1700.0,1712.5,1750.0,1800.0,1800.0,1780.0,1750.0,1750.0,1800.0,1800.0,1800.0,1779.0,1750.0,1799.0,1850.0,1850.0,1800.0,1800.0,1800.0,1850.0,1800.0,1800.0,1850.0,1862.5,1950.0,1900.0,1900.0,2000.0,2000.0,1950.0,1925.0,2000.0,2099.0,2000.0,2000.0,2050.0,2100.0,2000.0,2000.0,2000.0,2200.0,2100.0,2050.0,2000.0,2000.0,2100.0,2200.0,2100.0,2025.0,2100.0,2124.5,2200.0,2397.5,2400.0,2400.0,2477.5,2300.0,2300.0,2260.0,2325.0,2250.0,2335.0,2215.0,2100.0,2242.5,2000.0,2100.0,2020.0,2100.0,2100.0,2100.0,2100.0,2200.0,2300.0,2215.0,2200.0,2162.5,2175.0,2145.0,2150.0,2122.5,2150.0,2200.0
Little Haiti,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475.0,1597.0,1595.0,1595.0,1500.0,1550.0,1550.0,1437.5,1450.0,1499.5,1550.0,1500.0,1425.0,1525.0,1595.0
Flamingo Lummus,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,2400.0,2400.0,2400.0,2425.0,2450.0,2495.0,2500.0,2500.0,2500.0,2650.0,2500.0,2500.0,2500.0,2500.0,2650.0,2700.0,2709.0,2725.0,2550.0,2549.0,2500.0,2574.5,2579.0,2550.0,2650.0,2650.0,2629.0,2650.0,2675.0,2750.0,2600.0,2500.0,2500.0,2500.0,2500.0,2450.0,2400.0,2404.5,2495.0,2750.0,2600.0,2600.0,2600.0,2625.0,2700.0,2600.0,2500.0,2500.0,2500.0,2575.0,2569.0,2795.0,2850.0,2700.0,2669.5,2600.0,2600.0,2600.0,2750.0,2702.5,2800.0,2800.0,2689.0,2667.0,2700.0,2600.0,2400.0,2565.5,2450.0,2600.0,2400.0,2484.5,2500.0,2500.0,2500.0,2550.0,2543.0,2500.0,2570.0,2699.0,2600.0,2700.0,2700.0,2600.0,2550.0,2529.0
Brickell,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2425.0,2450.0,2400.0,2500.0,2400.0,2400.0,2350.0,2325.0,2397.5,2400.0,2500.0,2500.0,2500.0,2500.0,2550.0,2550.0,2500.0,2547.5,2500.0,2550.0,2550.0,2550.0,2550.0,2550.0,2600.0,2595.0,2550.0,2550.0,2550.0,2600.0,2650.0,2650.0,2650.0,2650.0,2650.0,2650.0,2700.0,2700.0,2650.0,2600.0,2600.0,2600.0,2600.0,2600.0,2700.0,2700.0,2700.0,2750.0,2797.5,2700.0,2700.0,2690.0,2700.0,2700.0,2750.0,2800.0,2850.0,2800.0,2890.0,2850.0,2800.0,2850.0,2800.0,2800.0,2800.0,2800.0,2780.0,2700.0,2700.0,2750.0,2739.5,2800.0,2750.0,2700.0,2800.0,2750.0,2800.0,2800.0,2800.0,2800.0,2750.0,2795.0,2800.0,2821.0,2800.0,2800.0,2800.0,2800.0,2850.0,2865.0,2890.0
Wynwood - Edgewater,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,1950.0,1950.0,1950.0,1950.0,2000.0,2000.0,2000.0,2000.0,2050.0,2200.0,2200.0,2200.0,2275.0,2300.0,2300.0,2300.0,2350.0,2300.0,2300.0,2322.5,2300.0,2325.0,2350.0,2400.0,2400.0,2475.0,2475.0,2482.5,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2600.0,2550.0,2500.0,2500.0,2500.0,2500.0,2600.0,2550.0,2500.0,2550.0,2550.0,2550.0,2600.0,2600.0,2500.0,2600.0,2600.0,2650.0,2654.5,2700.0,2750.0,2750.0,2800.0,2750.0,2800.0,2850.0,2800.0,2850.0,2900.0,2800.0,2737.5,2737.5,2625.0,2737.5,2650.0,2700.0,2667.5,2599.0,2600.0,2700.0,2775.0,2770.0,2800.0,2800.0,2799.0,2850.0,2850.0,2800.0,2800.0,2800.0,2800.0,2815.0,2900.0
Villages of Palm Beach Lakes,West Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,,,,,,,,,1056.5,1050.0,1075.0,1010.0,1050.0,1010.0,1005.0,1000.0,1000.0,1050.0,1050.0,1050.0,1020.0,1050.0,1050.0,1052.5,1050.0,1049.0,1050.0,1030.0,1000.0,1027.5,1000.0,1054.0,1075.0,1095.0,1080.0,1087.5,1095.0,1100.0,1100.0,1100.0,1150.0,1150.0,1150.0,1137.5,1150.0,1150.0,1175.0,1175.0,1175.0,1200.0,1200.0,1150.0,1188.0,1191.5,1200.0,1200.0,1200.0,1250.0,1250.0,1250.0,1330.0,1300.0,1325.0,1339.0,1339.0,1350.0,1350.0,1380.0,1300.0,1295.0,1300.0,1300.0,1300.0,1325.0,1300.0,1250.0,1312.5,1375.0,1375.0,1371.0,1377.5,1375.0,1378.0,1375.0,1375.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0
