Zip,city,state,metro,county,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
33025,Miramar,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,1500.0,1550.0,1550.0,1575.0,1600.0,1625.0,1600.0,1600.0,1612.5,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1550.0,1550.0,1525.0,1550.0,1505.0,1500.0,1500.0,1500.0,1500.0,1550.0,1600.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1712.5,1700.0,1700.0,1700.0,1700.0,1750.0,1750.0,1750.0,1750.0,1712.5,1725.0,1750.0,1750.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1850.0,1850.0,1800.0,1850.0,1850.0,1850.0,1800.0,1780.0,1790.0,1800.0,1850.0,1800.0,1840.0,1848.0,1850.0,1850.0,1850.0,1899.0,1850.0,1875.0,1899.0,1965.0,1950.0,1900.0,1987.0,2000.0,1980.0
33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850.0,1950.0,1900.0,1900.0,2000.0,1925.0,1899.0,1895.0,1850.0,1875.0,1800.0,1844.5,1800.0,1850.0,1800.0,1850.0,1859.0,1800.0,1900.0,1900.0,1950.0,1997.5,1999.0,1950.0,1950.0,1975.0,1805.0,1862.5,1900.0,1925.0,1962.5,2000.0,2000.0,1992.0,1949.5,1900.0,1910.0,2000.0,1990.5,1997.0,2055.0,2055.0,2000.0,2000.0,2000.0,2095.0,2105.0,2092.5
33024,Pembroke Pines,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,1600.0,1650.0,1700.0,1750.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1650.0,1685.0,1600.0,1600.0,1650.0,1650.0,1600.0,1697.0,1625.0,1625.0,1600.0,1600.0,1700.0,1695.0,1612.5,1650.0,1650.0,1650.0,1800.0,1850.0,1850.0,1850.0,1875.0,1837.5,1750.0,1797.0,1772.5,1750.0,1750.0,1750.0,1850.0,1800.0,1800.0,1849.0,1850.0,1800.0,1800.0,1799.5,1850.0,1800.0,1849.0,1800.0,1845.0,1850.0,1865.0,1950.0,1850.0,1850.0,1869.0,1869.0,1850.0,1950.0,1950.0,2000.0,2110.0,2150.0,2000.0,1975.0,1900.0,2000.0,1995.0,1950.0,1950.0,1950.0,1950.0,1997.0,2000.0,2100.0,2100.0,2050.0,2000.0,1995.0,1875.0,1975.0,2000.0,1999.5,2000.0
33009,Hallandale,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750.0,1850.0,1900.0,2000.0,2000.0,2000.0,1957.0,1890.0,1800.0,1800.0,1800.0,1750.0,1750.0,1915.0,1990.0
33186,The Crossings,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,1700.0,1700.0,1700.0,1700.0,1800.0,1800.0,1850.0,1825.0,1800.0,1800.0,1800.0,1799.5,1800.0,1794.5,1796.5,1774.0,1750.0,1750.0,1800.0,1775.0,1750.0,1800.0,1800.0,1750.0,1750.0,1775.0,1750.0,1800.0,1800.0,1850.0,1850.0,1899.0,1899.0,1900.0,1900.0,1875.0,1850.0,1850.0,1875.0,1850.0,1899.0,1899.0,1900.0,1900.0,1985.0,1950.0,1875.0,1850.0,1850.0,1900.0,1867.5,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1982.5,1995.0,1980.0,1950.0,1900.0,1900.0,1950.0,1950.0,1950.0,1900.0,1950.0,1992.0,1900.0,1900.0,1975.0,1950.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2017.0,2100.0,2000.0
33311,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,1325.0,1350.0,1300.0,1275.0,1287.5,1350.0,1400.0,1400.0,1397.5,1400.0,1400.0,1495.0,1399.5,1475.0,1495.0,1500.0,1500.0,1492.5,1462.5,1490.0,1450.0,1400.0,1400.0,1400.0,1400.0,1397.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1495.0,1500.0,1500.0,1450.0,1450.0,1490.0,1500.0,1500.0,1500.0,1500.0,1550.0,1529.0,1525.0,1525.0,1500.0,1500.0,1500.0,1500.0,1544.0,1530.0,1500.0,1500.0,1500.0,1539.0,1510.0,1550.0,1585.0,1600.0,1600.0,1600.0,1590.0,1550.0,1650.0,1600.0,1595.0,1600.0,1575.0,1550.0,1600.0,1600.0,1600.0,1625.0,1650.0,1650.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1650.0,1700.0,1700.0
33064,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,1500.0,1600.0,1700.0,1600.0,1500.0,1500.0,1500.0,1525.0,1500.0,1500.0,1550.0,1500.0,1550.0,1500.0,1547.5,1595.0,1550.0,1550.0,1550.0,1650.0,1695.0,1650.0,1600.0,1650.0,1600.0,1550.0,1550.0,1550.0,1625.0,1600.0,1650.0,1650.0,1675.0,1600.0,1600.0,1600.0,1650.0,1650.0,1650.0,1650.0,1850.0,1700.0,1750.0,1800.0,1800.0,1700.0,1680.0,1700.0,1700.0,1699.0,1700.0,1700.0,1795.0,1725.0,1687.5,1800.0,1650.0,1700.0,1650.0,1875.0,1800.0,1865.0,1895.0,1824.5,1900.0,2000.0,2000.0,2000.0,1950.0,1900.0,1997.5,2000.0,1890.0,1900.0,1900.0
33027,Miramar,FL,Miami-Fort Lauderdale,Broward,,,2400.0,2500.0,2400.0,2300.0,2300.0,2300.0,2200.0,2150.0,2175.0,2200.0,2200.0,2200.0,2300.0,2350.0,2300.0,2300.0,2250.0,2200.0,2200.0,2150.0,2150.0,2100.0,2150.0,2175.0,2150.0,2050.0,2100.0,2000.0,2085.0,1950.0,2000.0,2050.0,2150.0,2100.0,2050.0,2000.0,1950.0,1950.0,1990.0,2000.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2125.0,2150.0,2250.0,2200.0,2250.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2100.0,2150.0,2200.0,2200.0,2250.0,2275.0,2299.5,2250.0,2300.0,2300.0,2250.0,2245.0,2297.0,2300.0,2285.0,2250.0,2300.0,2259.5,2273.5,2250.0,2299.5,2300.0,2335.0,2382.5,2425.0,2350.0,2350.0,2300.0,2300.0,2395.0,2350.0,2350.0,2400.0,2380.0,2350.0,2400.0,2400.0,2400.0
33063,Margate,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,1600.0,1625.0,1595.0,1550.0,1525.0,1450.0,1475.0,1500.0,1500.0,1550.0,1550.0,1303.5,1495.0,1497.5,1497.5,1600.0,1600.0,1600.0,1600.0,1619.5,1600.0,1549.0,1595.0,1600.0,1600.0,1650.0,1700.0,1700.0,1670.0,1700.0,1695.0,1700.0,1700.0,1700.0,1750.0,1800.0,1795.0,1750.0,1700.0,1662.5,1700.0,1744.5,1750.0,1769.0,1800.0,1850.0,1800.0,1719.0,1800.0,1737.5,1750.0,1850.0,1872.0,1897.5,1890.0,1995.0,1995.0,1950.0,1975.0,1900.0,1725.0,2000.0,2014.5,1900.0,1899.0,1925.0,1975.0,1969.0,1964.5,1974.5,1963.0,1995.0,1950.0,1940.0,1900.0,1884.5,1897.0,1850.0,1750.0,1774.5
33313,Lauderhill,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,1450.0,1650.0,1608.0,1695.0,1600.0,1600.0,1599.0,1600.0,1650.0,1650.0,1650.0,1695.0,1650.0,1499.5,1545.0,1562.5
33319,Lauderhill,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0,1600.0,1500.0,1500.0,1500.0,1400.0,1300.0,1400.0,1300.0,1362.5,1350.0,1300.0,1350.0,1350.0,1400.0,1500.0,1450.0,1500.0,1500.0,1500.0,1497.0,1500.0,1500.0,1525.0,1550.0,1572.5,1597.5,1650.0,1650.0,1550.0,1600.0,1650.0,1650.0,1600.0,1597.5,1609.5,1589.5,1550.0,1600.0,1600.0,1600.0,1645.0,1650.0,1645.0,1600.0,1600.0,1650.0,1650.0,1650.0,1700.0,1700.0,1800.0,1775.0,1795.0,1799.0,1795.0,1700.0,1750.0,1800.0,1850.0,1700.0,1825.0,1700.0,1750.0,1700.0,1796.5,1812.5,1725.0,1800.0,1799.0,1800.0,1900.0,1790.0,1800.0,1800.0,1700.0,1750.0
33321,Tamarac,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,1450.0,1500.0,1500.0,1500.0,1490.0,1495.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1499.0,1475.0,1500.0,1500.0,1490.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1600.0,1600.0,1600.0,1600.0,1650.0,1650.0,1650.0,1650.0,1700.0,1700.0,1650.0,1650.0,1665.0,1695.0,1700.0,1720.0,1690.0,1690.0,1650.0,1679.5,1650.0,1650.0,1750.0,1800.0,1850.0,1800.0,1650.0,1725.0,1795.0,1800.0,1700.0,1790.0,1800.0,1800.0,1800.0,1800.0,1800.0,1850.0,1800.0,1800.0,1800.0,1700.0,1675.0,1694.5,1699.0,1700.0
